number,genus,species,Scientific Name,weight,chemical_group,substance,group,MoA,irac_group,irac_cat,LD50_bee,LD50_g_bee,tox_ref,notes
319,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Phosphamidon,Organophosphates,AChE Inhibitors,1,b,0.0054,6.43E-05,Arena 2014 citing Torchio 1973,
320,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Triazamate (RH7988),Carbamates,AChE Inhibitors,1,a,5.02,0.059761905,Arena 2014 citing Stark 1995,
321,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,0.0465,0.000553571,Arena 2014 citing Torchio 1973,
322,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,4.19,0.044812834,Uhl 2019,
323,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,4.29,0.045882353,Uhl 2016,
324,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.32,0.014117647,Uhl 2019,
325,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Primicarb,Carbamates,AChE Inhibitors,1,a,115.07,1.230695187,Uhl 2019,
326,Osmia,cornifrons,Osmia cornifrons,112,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.09,0.000803571,Arena 2014 citing Biddinger et al. 2013,
327,Osmia,cornifrons,Osmia cornifrons,112,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,6.1,0.054464286,Arena 2014 citing Biddinger et al. 2013,
328,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.96,0.014961832,Arena 2014 citing Ladurner 2005,
329,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.21,0.009236641,Arena 2014 citing Ladurner 2005,
330,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.02,0.00778626,Arena 2014 citing Ladurner 2005,
331,Scaptotrigona,bipunctata,Scaptotrigona bipunctata,18,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,0.011,0.000611111,Dorneles 2017,
332,Scaptotrigona,bipunctata,Scaptotrigona bipunctata,18,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,0.0087,0.000483333,Dorneles 2017,
333,Tetragonista,fibrigi,Tetragonista fibrigi,3.4,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,0.0033,0.000970588,Dorneles 2017,
334,Tetragonista,fibrigi,Tetragonista fibrigi,3.4,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,0.0083,0.002441176,Dorneles 2017,
335,Trigona,nigra,Trigona nigra,9.9,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.24,0.024242424,Arena 2014 citing Valdovinos-Núñez 2009,
336,Trigona,nigra,Trigona nigra,9.9,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.15,0.015151515,Arena 2014 citing Valdovinos-Núñez 2009,
337,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Acephate,Organophosphates,AChE Inhibitors,1,b,0.423,0.030214286,Arena 2014 citing Macieira 1989,
338,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Dicrotophos,Organophosphates,AChE Inhibitors,1,b,0.685,0.048928571,Lewis 2019,
339,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.265,0.018928571,Lewis 2019,
340,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.1402,0.010014286,Arena 2014 citing Macieira 1989,
